#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
167.09397624   0.49422202   0.00000000
167.09397624   0.48978686   0.00000000
167.59397624   0.48978686   0.00000000
167.59397624   0.47852548   0.00000000
168.09397624   0.47852548   0.00000000
168.09397624   0.46079902   0.00000000
168.59397624   0.46079902   0.00000000
168.59397624   0.43711741   0.00000000
169.09397624   0.43711741   0.00000000
169.09397624   0.40811711   0.00000000
169.59397624   0.40811711   0.00000000
169.59397624   0.37453448   0.00000000
170.09397624   0.37453448   0.00000000
170.09397624   0.33717620   0.00000000
170.59397624   0.33717620   0.00000000
170.59397624   0.29688853   0.00000000
171.09397624   0.29688853   0.00000000
171.09397624   0.25452676   0.00000000
171.59397624   0.25452676   0.00000000
171.59397624   0.21092665   0.00000000
172.09397624   0.21092665   0.00000000
172.09397624   0.16687888   0.00000000
172.59397624   0.16687888   0.00000000
172.59397624   0.12310767   0.00000000
173.09397624   0.12310767   0.00000000
173.09397624   0.08025421   0.00000000
173.59397624   0.08025421   0.00000000
173.59397624   0.03886526   0.00000000
174.09397624   0.03886526   0.00000000
174.09397624  -0.00061303   0.00000000
174.59397624  -0.00061303   0.00000000
174.59397624  -0.03783649   0.00000000
175.09397624  -0.03783649   0.00000000
175.09397624  -0.07255975   0.00000000
175.59397624  -0.07255975   0.00000000
175.59397624  -0.10462952   0.00000000
176.09397624  -0.10462952   0.00000000
176.09397624  -0.13397495   0.00000000
176.59397624  -0.13397495   0.00000000
176.59397624  -0.16059597   0.00000000
177.09397624  -0.16059597   0.00000000
177.09397624  -0.18455054   0.00000000
177.59397624  -0.18455054   0.00000000
177.59397624  -0.20594153   0.00000000
178.09397624  -0.20594153   0.00000000
178.09397624  -0.22490394   0.00000000
178.59397624  -0.22490394   0.00000000
178.59397624  -0.24159296   0.00000000
179.09397624  -0.24159296   0.00000000
179.09397624  -0.25617330   0.00000000
179.59397624  -0.25617330   0.00000000
179.59397624  -0.26881014   0.00000000
180.09397624  -0.26881014   0.00000000
180.09397624  -0.27966153   0.00000000
180.59397624  -0.27966153   0.00000000
180.59397624  -0.28887255   0.00000000
181.09397624  -0.28887255   0.00000000
181.09397624  -0.29657094   0.00000000
181.59397624  -0.29657094   0.00000000
181.59397624  -0.30286403   0.00000000
182.09397624  -0.30286403   0.00000000
182.09397624  -0.30783691   0.00000000
182.59397624  -0.30783691   0.00000000
182.59397624  -0.31155142   0.00000000
183.09397624  -0.31155142   0.00000000
183.09397624  -0.31404585   0.00000000
183.59397624  -0.31404585   0.00000000
183.59397624  -0.31533519   0.00000000
184.09397624  -0.31533519   0.00000000
184.09397624  -0.31541176   0.00000000
184.59397624  -0.31541176   0.00000000
184.59397624  -0.31424606   0.00000000
185.09397624  -0.31424606   0.00000000
185.09397624  -0.31178798   0.00000000
185.59397624  -0.31178798   0.00000000
185.59397624  -0.30796823   0.00000000
186.09397624  -0.30796823   0.00000000
186.09397624  -0.30270019   0.00000000
