#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.22053261   0.00000000
 10.86894358   3.22053261   0.00000000
 10.86894358   2.29066610   0.00000000
125.59397624   2.29066610   0.00000000
125.59397624   2.29068893   0.00000000
130.59397624   2.29068893   0.00000000
130.59397624   2.29197079   0.00000000
131.09397624   2.29197079   0.00000000
131.09397624   2.29262641   0.00000000
131.59397624   2.29262641   0.00000000
131.59397624   2.29357635   0.00000000
132.09397624   2.29357635   0.00000000
132.09397624   2.29493528   0.00000000
132.59397624   2.29493528   0.00000000
132.59397624   2.29685454   0.00000000
133.09397624   2.29685454   0.00000000
133.09397624   2.29953075   0.00000000
133.59397624   2.29953075   0.00000000
133.59397624   2.30321502   0.00000000
134.09397624   2.30321502   0.00000000
134.09397624   2.30822258   0.00000000
134.59397624   2.30822258   0.00000000
134.59397624   2.31494224   0.00000000
135.09397624   2.31494224   0.00000000
135.09397624   2.32384478   0.00000000
135.59397624   2.32384478   0.00000000
135.59397624   2.33548937   0.00000000
136.09397624   2.33548937   0.00000000
136.09397624   2.35052698   0.00000000
136.59397624   2.35052698   0.00000000
136.59397624   2.36969942   0.00000000
137.09397624   2.36969942   0.00000000
137.09397624   2.39383280   0.00000000
137.59397624   2.39383280   0.00000000
137.59397624   2.42382448   0.00000000
138.09397624   2.42382448   0.00000000
138.09397624   2.46062246   0.00000000
138.59397624   2.46062246   0.00000000
138.59397624   2.50519693   0.00000000
139.09397624   2.50519693   0.00000000
139.09397624   2.55850405   0.00000000
139.59397624   2.55850405   0.00000000
139.59397624   2.62435322   0.00000000
140.09397624   2.62435322   0.00000000
140.09397624   2.69676722   0.00000000
140.59397624   2.69676722   0.00000000
140.59397624   2.78053716   0.00000000
141.09397624   2.78053716   0.00000000
141.09397624   2.87600536   0.00000000
141.59397624   2.87600536   0.00000000
141.59397624   2.98328006   0.00000000
142.09397624   2.98328006   0.00000000
142.09397624   3.10218894   0.00000000
142.59397624   3.10218894   0.00000000
142.59397624   3.23224427   0.00000000
143.09397624   3.23224427   0.00000000
143.09397624   3.37262286   0.00000000
143.59397624   3.37262286   0.00000000
143.59397624   3.52216293   0.00000000
144.09397624   3.52216293   0.00000000
144.09397624   3.67937929   0.00000000
144.59397624   3.67937929   0.00000000
144.59397624   3.84249662   0.00000000
145.09397624   3.84249662   0.00000000
145.09397624   4.00949942   0.00000000
145.59397624   4.00949942   0.00000000
145.59397624   4.17819602   0.00000000
146.09397624   4.17819602   0.00000000
146.09397624   4.34629262   0.00000000
146.59397624   4.34629262   0.00000000
146.59397624   4.51147274   0.00000000
147.09397624   4.51147274   0.00000000
147.09397624   4.67147704   0.00000000
147.59397624   4.67147704   0.00000000
147.59397624   4.82417833   0.00000000
148.09397624   4.82417833   0.00000000
148.09397624   4.96764728   0.00000000
148.59397624   4.96764728   0.00000000
148.59397624   5.10020505   0.00000000
149.09397624   5.10020505   0.00000000
149.09397624   5.22046046   0.00000000
149.59397624   5.22046046   0.00000000
149.59397624   5.32733030   0.00000000
150.09397624   5.32733030   0.00000000
150.09397624   5.42004314   0.00000000
150.59397624   5.42004314   0.00000000
150.59397624   5.49812806   0.00000000
151.09397624   5.49812806   0.00000000
151.09397624   5.56139060   0.00000000
151.59397624   5.56139060   0.00000000
151.59397624   5.60987928   0.00000000
152.09397624   5.60987928   0.00000000
152.09397624   5.64384609   0.00000000
152.59397624   5.64384609   0.00000000
152.59397624   5.66370441   0.00000000
153.09397624   5.66370441   0.00000000
153.09397624   5.66998760   0.00000000
153.59397624   5.66998760   0.00000000
153.59397624   5.66331078   0.00000000
154.09397624   5.66331078   0.00000000
154.09397624   5.64433769   0.00000000
154.59397624   5.64433769   0.00000000
154.59397624   5.61375365   0.00000000
155.09397624   5.61375365   0.00000000
155.09397624   5.57224508   0.00000000
155.59397624   5.57224508   0.00000000
155.59397624   5.52048502   0.00000000
156.09397624   5.52048502   0.00000000
156.09397624   5.45912407   0.00000000
156.59397624   5.45912407   0.00000000
156.59397624   5.38878536   0.00000000
157.09397624   5.38878536   0.00000000
157.09397624   5.31006259   0.00000000
157.59397624   5.31006259   0.00000000
157.59397624   5.22351965   0.00000000
158.09397624   5.22351965   0.00000000
158.09397624   5.12969106   0.00000000
158.59397624   5.12969106   0.00000000
158.59397624   5.02908232   0.00000000
159.09397624   5.02908232   0.00000000
159.09397624   4.92216990   0.00000000
159.59397624   4.92216990   0.00000000
159.59397624   4.80940077   0.00000000
160.09397624   4.80940077   0.00000000
160.09397624   4.69119168   0.00000000
160.59397624   4.69119168   0.00000000
160.59397624   4.56792873   0.00000000
161.09397624   4.56792873   0.00000000
161.09397624   4.43996759   0.00000000
