#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     2.78057706404021                2.069                    0
    10.8689435813569     2.78057706404021     3.22053260609723                    0
    114.725032653822                    0     2.29066609976799                    0
                 5.5                    0      2.2906498747252                    0
                 0.5                    0      2.2892728989956                    0
                 0.5                    0     2.28859775582598                    0
                 0.5                    0     2.28763194093373                    0
                 0.5                    0     2.28626786963071                    0
                 0.5                    0     2.28436580053768                    0
                 0.5                    0     2.28174724455836                    0
                 0.5                    0     2.27818811412547                    0
                 0.5                    0     2.27341202473512                    0
                 0.5                    0     2.26708430123606                    0
                 0.5                    0     2.25880737596082                    0
                 0.5                    0     2.24811837668877                    0
                 0.5                    0     2.23448976865342                    0
                 0.5                    0     2.21733391430514                    0
                 0.5                    0     2.19601232703452                    0
                 0.5                    0     2.16985020546719                    0
                 0.5                    0     2.13815653701885                    0
                 0.5                    0     2.10024965904519                    0
                 0.5                    0      2.0534193450012                    0
                 0.5                    0     2.00190947121852                    0
                 0.5                    0     1.94230960799288                    0
                 0.5                    0      1.8743691469028                    0
                 0.5                    0     1.79800145856827                    0
                 0.5                    0     1.71331631938985                    0
                 0.5                    0     1.62064393525445                    0
                 0.5                    0      1.5205483852571                    0
                 0.5                    0     1.41382887830214                    0
                 0.5                    0     1.30150798764883                    0
                 0.5                    0     1.18480694573101                    0
                 0.5                    0     1.06510906271625                    0
                 0.5                    0    0.943913281170571                    0
                 0.5                    0    0.822780696579641                    0
                 0.5                    0    0.703277469745261                    0
                 0.5                    0    0.586917864337952                    0
                 0.5                    0    0.475111124309954                    0
                 0.5                    0    0.369115560858581                    0
                 0.5                    0    0.270002583015471                    0
                 0.5                    0    0.178632547214564                    0
                 0.5                    0    0.095643309532297                    0
                 0.5                    0    0.021451340831534                    0
                 0.5                    0  -0.0437356907611052                    0
                 0.5                    0  -0.0998967676263275                    0
                 0.5                    0    -0.14716828274962                    0
                 0.5                    0   -0.185810525275371                    0
                 0.5                    0   -0.216172775411053                    0
                 0.5                    0   -0.238659722725981                    0
                 0.5                    0   -0.253701552049175                    0
                 0.5                    0   -0.261729525500651                    0
                 0.5                    0   -0.263158287480216                    0
                 0.5                    0   -0.258375489888611                    0
                 0.5                    0   -0.247738728454858                    0
                 0.5                    0   -0.231579238021852                    0
                 0.5                    0   -0.210211343084729                    0
                 0.5                    0   -0.183946316185725                    0
                 0.5                    0   -0.153109067438684                    0
                 0.5                    0   -0.118055972504496                    0
                 0.5                    0  -0.0791921377831715                    0
                 0.5                    0  -0.0369864914794501                    0
                 0.5                    0  0.00801673306702487                    0
                 0.5                    0   0.0551913015463001                    0
                 0.5                    0    0.103827933104995                    0
                 0.5                    0     0.15313940239746                    0
                 0.5                    0    0.202271889856916                    0
                 0.5                    0    0.250322272345185                    0
                 0.5                    0    0.296360648371393                    0
                 0.5                    0    0.339457028345623                    0
                 0.5                    0    0.378710814829818                    0
                 0.5                    0    0.413281472726743                    0
                 0.5                    0    0.442418663194513                    0
                 0.5                    0    0.465490100196007                    0
                 0.5                    0    0.482005489686058                    0
                 0.5                    0    0.491635124409042                    0
                 0.5                    0    0.494222019005246                    0
                 0.5                    0    0.489786859169107                    0
                 0.5                    0    0.478525476828198                    0
                 0.5                    0    0.460799018252661                    0
                 0.5                    0    0.437117409745307                    0
                 0.5                    0    0.408117113805308                    0
                 0.5                    0    0.374534479639013                    0
                 0.5                    0    0.337176204819321                    0
                 0.5                    0    0.296888527660452                    0
                 0.5                    0     0.25452675985238                    0
                 0.5                    0    0.210926652790508                    0
                 0.5                    0    0.166878883808273                    0
                 0.5                    0    0.123107671594382                    0
                 0.5                    0   0.0802542090015049                    0
                 0.5                    0   0.0388652633446464                    0
                 0.5                    0 -0.000613034690025939                    0
                 0.5                    0  -0.0378364892467358                    0
                 0.5                    0  -0.0725597468992491                    0
                 0.5                    0   -0.104629520024716                    0
                 0.5                    0   -0.133974948077433                    0
                 0.5                    0   -0.160595966523303                    0
                 0.5                    0   -0.184550538263672                    0
                 0.5                    0   -0.205941534569294                    0
                 0.5                    0   -0.224903944313304                    0
                 0.5                    0   -0.241592955411781                    0
                 0.5                    0   -0.256173304617722                    0
                 0.5                    0   -0.268810143808114                    0
                 0.5                    0   -0.279661533340045                    0
                 0.5                    0   -0.288872554154055                    0
                 0.5                    0    -0.29657093562922                    0
                 0.5                    0   -0.302864028696744                    0
                 0.5                    0   -0.307836913999623                    0
                 0.5                    0   -0.311551421580421                    0
                 0.5                    0   -0.314045848791352                    0
                 0.5                    0    -0.31533519285447                    0
                 0.5                    0   -0.315411759041653                    0
                 0.5                    0   -0.314246059676538                    0
                 0.5                    0   -0.311787977800262                    0
                 0.5                    0   -0.307968227118699                    0
                 0.5                    0   -0.302700191644315                    0
                 0.5                    0   -0.295882269435231                    0
                 0.5                    0   -0.287400870642489                    0
                 0.5                    0    -0.27713422698343                    0
                 0.5                    0   -0.264957154955005                    0
                 0.5                    0   -0.250746876989251                    0
                 0.5                    0      -0.234389943271                    0
                 0.5                    0   -0.215790213855082                    0
                 0.5                    0   -0.194877759862621                    0
                 0.5                    0   -0.171618429875687                    0
                 0.5                    0   -0.146023711204173                    0
                 0.5                    0   -0.118160405201549                    0
                 0.5                    0  -0.0881595421225948                    0
                 0.5                    0  -0.0562238953224696                    0
                 0.5                    0  -0.0226334273614062                    0
                 0.5                    0   0.0122519795651809                    0
                 0.5                    0   0.0479930838429828                    0
                 0.5                    0   0.0840755832198339                    0
                 0.5                    0    0.119918421581774                    0
                 0.5                    0    0.154886151281988                    0
                 0.5                    0    0.188305146261721                    0
