#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                 0.5                    0     2.15735764948432                    0
                 0.5                    0     2.32562029943284                    0
                 0.5                    0     2.49594340939951                    0
                 0.5                    0     2.66727830991421                    0
                 0.5                    0     2.83861640357796                    0
                 0.5                    0     3.00901226282779                    0
                 0.5                    0     3.17760233470539                    0
                 0.5                    0     3.34361848411377                    0
                 0.5                    0     3.50639597903745                    0
                 0.5                    0     3.66537591174523                    0
                 0.5                    0      3.8201024266741                    0
                 0.5                    0     3.97021545800922                    0
                 0.5                    0     4.11543994220987                    0
                 0.5                    0     4.25557264424976                    0
                 0.5                    0     4.39046781110601                    0
                 0.5                    0     4.52002284120431                    0
                 0.5                    0     4.64416504211048                    0
                 0.5                    0      4.7628403563858                    0
                 0.5                    0     4.87600468855615                    0
                 0.5                    0      4.9836181893221                    0
                 0.5                    0     5.08564257204118                    0
                 0.5                    0     5.18204127514069                    0
                 0.5                    0     5.27278206277811                    0
                 0.5                    0     5.35784148981157                    0
                 0.5                    0      5.4372105548408                    0
                 0.5                    0     5.51090082915688                    0
                 0.5                    0     5.57895037627653                    0
                 0.5                    0     5.64142885759252                    0
                 0.5                    0     5.69844134201478                    0
                 0.5                    0     5.75013048652975                    0
                 0.5                    0     5.79667691493792                    0
                 0.5                    0     5.83829777903208                    0
                 0.5                    0     5.87524362758334                    0
                 0.5                    0     5.90779382406748                    0
                 0.5                    0     5.93625083786359                    0
                 0.5                    0     5.96093378299532                    0
                 0.5                    0     5.98217159394921                    0
                 0.5                    0     6.00029621306105                    0
                 0.5                    0     6.01563612384457                    0
                 0.5                    0     6.02851050616563                    0
                 0.5                    0      6.0392242195471                    0
                 0.5                    0     6.04806374711205                    0
                 0.5                    0     6.05529416092427                    0
                 0.5                    0     6.06115710475362                    0
                 0.5                    0     6.06586973613891                    0
                 0.5                    0      6.0696245281266                    0
                 0.5                    0     6.07258980292661                    0
                 0.5                    0     6.07491085446497                    0
                 0.5                    0     6.07671151303386                    0
                 0.5                    0     6.07809601094342                    0
                 0.5                    0     6.07915102095046                    0
                 0.5                    0     6.07994775690885                    0
                52.5                    0     6.08212001503543                    0
                   0                    0     6.08212001503543                    0
