#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.15724391   0.00000000
 11.96060263   3.15724391   0.00000000
 11.96060263   3.35223426   0.00000000
 48.38880187   3.35223426   0.00000000
 48.38880187   4.41626673   0.00000000
164.05338874   4.41626673   0.00000000
164.05338874   4.41619759   0.00000000
169.05338874   4.41619759   0.00000000
169.05338874   4.41500736   0.00000000
169.55338874   4.41500736   0.00000000
169.55338874   4.41453294   0.00000000
170.05338874   4.41453294   0.00000000
170.05338874   4.41389648   0.00000000
170.55338874   4.41389648   0.00000000
170.55338874   4.41390791   0.00000000
171.05338874   4.41390791   0.00000000
171.05338874   4.41227600   0.00000000
171.55338874   4.41227600   0.00000000
171.55338874   4.41059378   0.00000000
172.05338874   4.41059378   0.00000000
172.05338874   4.40859995   0.00000000
172.55338874   4.40859995   0.00000000
172.55338874   4.40610376   0.00000000
173.05338874   4.40610376   0.00000000
173.05338874   4.40293552   0.00000000
173.55338874   4.40293552   0.00000000
173.55338874   4.39891964   0.00000000
174.05338874   4.39891964   0.00000000
174.05338874   4.39386073   0.00000000
174.55338874   4.39386073   0.00000000
174.55338874   4.38753690   0.00000000
175.05338874   4.38753690   0.00000000
175.05338874   4.37969696   0.00000000
175.55338874   4.37969696   0.00000000
175.55338874   4.37006014   0.00000000
176.05338874   4.37006014   0.00000000
176.05338874   4.35831790   0.00000000
176.55338874   4.35831790   0.00000000
176.55338874   4.34413750   0.00000000
177.05338874   4.34413750   0.00000000
177.05338874   4.32716748   0.00000000
177.55338874   4.32716748   0.00000000
177.55338874   4.30704466   0.00000000
178.05338874   4.30704466   0.00000000
178.05338874   4.28340231   0.00000000
178.55338874   4.28340231   0.00000000
178.55338874   4.25587878   0.00000000
179.05338874   4.25587878   0.00000000
179.05338874   4.22412580   0.00000000
179.55338874   4.22412580   0.00000000
179.55338874   4.18781570   0.00000000
180.05338874   4.18781570   0.00000000
180.05338874   4.14664652   0.00000000
180.55338874   4.14664652   0.00000000
180.55338874   4.10034488   0.00000000
181.05338874   4.10034488   0.00000000
181.05338874   4.04866608   0.00000000
181.55338874   4.04866608   0.00000000
181.55338874   3.99139201   0.00000000
182.05338874   3.99139201   0.00000000
182.05338874   3.92832736   0.00000000
182.55338874   3.92832736   0.00000000
182.55338874   3.85929502   0.00000000
183.05338874   3.85929502   0.00000000
183.05338874   3.78413211   0.00000000
183.55338874   3.78413211   0.00000000
183.55338874   3.70268751   0.00000000
184.05338874   3.70268751   0.00000000
184.05338874   3.61482239   0.00000000
184.55338874   3.61482239   0.00000000
184.55338874   3.52041476   0.00000000
185.05338874   3.52041476   0.00000000
185.05338874   3.41936893   0.00000000
185.55338874   3.41936893   0.00000000
185.55338874   3.31163066   0.00000000
186.05338874   3.31163066   0.00000000
186.05338874   3.19720769   0.00000000
186.55338874   3.19720769   0.00000000
186.55338874   3.07619516   0.00000000
187.05338874   3.07619516   0.00000000
187.05338874   2.94880365   0.00000000
187.55338874   2.94880365   0.00000000
187.55338874   2.81538713   0.00000000
188.05338874   2.81538713   0.00000000
188.05338874   2.67646679   0.00000000
188.55338874   2.67646679   0.00000000
188.55338874   2.53274669   0.00000000
189.05338874   2.53274669   0.00000000
189.05338874   2.38511740   0.00000000
189.55338874   2.38511740   0.00000000
189.55338874   2.23464508   0.00000000
190.05338874   2.23464508   0.00000000
190.05338874   2.08254531   0.00000000
190.55338874   2.08254531   0.00000000
190.55338874   1.93014306   0.00000000
191.05338874   1.93014306   0.00000000
191.05338874   1.77882215   0.00000000
191.55338874   1.77882215   0.00000000
191.55338874   1.62996899   0.00000000
192.05338874   1.62996899   0.00000000
192.05338874   1.48491616   0.00000000
192.55338874   1.48491616   0.00000000
192.55338874   1.34489081   0.00000000
193.05338874   1.34489081   0.00000000
193.05338874   1.21097210   0.00000000
193.55338874   1.21097210   0.00000000
193.55338874   1.08406035   0.00000000
194.05338874   1.08406035   0.00000000
194.05338874   0.96485882   0.00000000
194.55338874   0.96485882   0.00000000
194.55338874   0.85386769   0.00000000
195.05338874   0.85386769   0.00000000
195.05338874   0.75138870   0.00000000
195.55338874   0.75138870   0.00000000
195.55338874   0.65753827   0.00000000
196.05338874   0.65753827   0.00000000
196.05338874   0.57226661   0.00000000
196.55338874   0.57226661   0.00000000
196.55338874   0.49538057   0.00000000
197.05338874   0.49538057   0.00000000
197.05338874   0.42656829   0.00000000
197.55338874   0.42656829   0.00000000
197.55338874   0.36542402   0.00000000
198.05338874   0.36542402   0.00000000
198.05338874   0.31147198   0.00000000
198.55338874   0.31147198   0.00000000
198.55338874   0.26418843   0.00000000
199.05338874   0.26418843   0.00000000
199.05338874   0.22302159   0.00000000
