#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.15724391   0.00000000
 11.96060263   3.15724391   0.00000000
 11.96060263   3.35223426   0.00000000
 48.38880187   3.35223426   0.00000000
 48.38880187   4.41626673   0.00000000
164.05338874   4.41626673   0.00000000
164.05338874   4.41627221   0.00000000
170.55338874   4.41627221   0.00000000
170.55338874   4.41369049   0.00000000
171.05338874   4.41369049   0.00000000
171.05338874   4.41544573   0.00000000
171.55338874   4.41544573   0.00000000
171.55338874   4.41623404   0.00000000
172.05338874   4.41623404   0.00000000
172.05338874   4.41659694   0.00000000
172.55338874   4.41659694   0.00000000
172.55338874   4.41676551   0.00000000
173.05338874   4.41676551   0.00000000
173.05338874   4.41680356   0.00000000
173.55338874   4.41680356   0.00000000
173.55338874   4.41667141   0.00000000
174.05338874   4.41667141   0.00000000
174.05338874   4.41623929   0.00000000
174.55338874   4.41623929   0.00000000
174.55338874   4.41526824   0.00000000
175.05338874   4.41526824   0.00000000
175.05338874   4.41336765   0.00000000
175.55338874   4.41336765   0.00000000
175.55338874   4.40993389   0.00000000
176.05338874   4.40993389   0.00000000
176.05338874   4.40407354   0.00000000
176.55338874   4.40407354   0.00000000
176.55338874   4.39451724   0.00000000
177.05338874   4.39451724   0.00000000
177.05338874   4.37953419   0.00000000
177.55338874   4.37953419   0.00000000
177.55338874   4.35686296   0.00000000
178.05338874   4.35686296   0.00000000
178.05338874   4.32367969   0.00000000
178.55338874   4.32367969   0.00000000
178.55338874   4.27662752   0.00000000
179.05338874   4.27662752   0.00000000
179.05338874   4.21193058   0.00000000
179.55338874   4.21193058   0.00000000
179.55338874   4.12560896   0.00000000
180.05338874   4.12560896   0.00000000
180.05338874   4.01379797   0.00000000
180.55338874   4.01379797   0.00000000
180.55338874   3.87315612   0.00000000
181.05338874   3.87315612   0.00000000
181.05338874   3.70132402   0.00000000
181.55338874   3.70132402   0.00000000
181.55338874   3.49737675   0.00000000
182.05338874   3.49737675   0.00000000
182.05338874   3.26219828   0.00000000
182.55338874   3.26219828   0.00000000
182.55338874   2.99870610   0.00000000
183.05338874   2.99870610   0.00000000
183.05338874   2.71186734   0.00000000
183.55338874   2.71186734   0.00000000
183.55338874   2.40847606   0.00000000
184.05338874   2.40847606   0.00000000
184.05338874   2.09669956   0.00000000
184.55338874   2.09669956   0.00000000
184.55338874   1.78544133   0.00000000
185.05338874   1.78544133   0.00000000
185.05338874   1.48360282   0.00000000
185.55338874   1.48360282   0.00000000
185.55338874   1.19934459   0.00000000
186.05338874   1.19934459   0.00000000
186.05338874   0.93944815   0.00000000
186.55338874   0.93944815   0.00000000
186.55338874   0.70886017   0.00000000
187.05338874   0.70886017   0.00000000
187.05338874   0.51046742   0.00000000
187.55338874   0.51046742   0.00000000
187.55338874   0.34511038   0.00000000
188.05338874   0.34511038   0.00000000
188.05338874   0.21180554   0.00000000
188.55338874   0.21180554   0.00000000
188.55338874   0.10811838   0.00000000
189.05338874   0.10811838   0.00000000
189.05338874   0.03061517   0.00000000
189.55338874   0.03061517   0.00000000
189.55338874  -0.02467713   0.00000000
190.05338874  -0.02467713   0.00000000
190.05338874  -0.06186070   0.00000000
190.55338874  -0.06186070   0.00000000
190.55338874  -0.08484395   0.00000000
191.05338874  -0.08484395   0.00000000
191.05338874  -0.09712202   0.00000000
191.55338874  -0.09712202   0.00000000
191.55338874  -0.10165765   0.00000000
192.05338874  -0.10165765   0.00000000
192.05338874  -0.10084660   0.00000000
192.55338874  -0.10084660   0.00000000
192.55338874  -0.09654474   0.00000000
193.05338874  -0.09654474   0.00000000
193.05338874  -0.09013331   0.00000000
193.55338874  -0.09013331   0.00000000
193.55338874  -0.08260165   0.00000000
194.05338874  -0.08260165   0.00000000
194.05338874  -0.07463187   0.00000000
194.55338874  -0.07463187   0.00000000
194.55338874  -0.06667584   0.00000000
195.05338874  -0.06667584   0.00000000
195.05338874  -0.05901939   0.00000000
195.55338874  -0.05901939   0.00000000
195.55338874  -0.05183253   0.00000000
196.05338874  -0.05183253   0.00000000
196.05338874  -0.04520677   0.00000000
196.55338874  -0.04520677   0.00000000
196.55338874  -0.03918161   0.00000000
197.05338874  -0.03918161   0.00000000
197.05338874  -0.03376282   0.00000000
197.55338874  -0.03376282   0.00000000
197.55338874  -0.02893465   0.00000000
198.05338874  -0.02893465   0.00000000
198.05338874  -0.02466797   0.00000000
198.55338874  -0.02466797   0.00000000
198.55338874  -0.02092561   0.00000000
199.05338874  -0.02092561   0.00000000
199.05338874  -0.01766596   0.00000000
199.55338874  -0.01766596   0.00000000
199.55338874  -0.01484548   0.00000000
200.05338874  -0.01484548   0.00000000
200.05338874  -0.01242036   0.00000000
