#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                 0.5                    0  -0.0148015931167861                    0
                 0.5                    0  -0.0146737729779635                    0
                 0.5                    0  -0.0145989158296289                    0
                 0.5                    0  -0.0145570478239752                    0
                 0.5                    0  -0.0145347207579392                    0
                 0.5                    0  -0.0145234677876917                    0
                 0.5                    0  -0.0145183554186485                    0
                 0.5                    0  -0.0145168689903267                    0
                 0.5                    0  -0.0145182267958355                    0
                 0.5                    0  -0.0145231449002575                    0
                 0.5                    0  -0.0145340537459732                    0
                 0.5                    0  -0.0145557661310264                    0
                 0.5                    0  -0.0145965767712913                    0
                 0.5                    0  -0.0146697033199968                    0
                 0.5                    0  -0.0147948394493768                    0
                 0.5                    0  -0.0149993939331648                    0
                 0.5                    0  -0.0153187902438621                    0
                 0.5                    0  -0.0157950987409728                    0
                 0.5                    0   -0.016473390530243                    0
                 0.5                    0  -0.0173956315023259                    0
                 0.5                    0  -0.0185926707160158                    0
                 0.5                    0  -0.0200757596401377                    0
                 0.5                    0  -0.0218297591474046                    0
                 0.5                    0  -0.0238103819150833                    0
                 0.5                    0  -0.0259472138542908                    0
                 0.5                    0  -0.0281528637485843                    0
                 0.5                    0  -0.0303367588388054                    0
                 0.5                    0  -0.0324204597929383                    0
                 0.5                    0  -0.0343505738072475                    0
                 0.5                    0  -0.0361058059912976                    0
                 0.5                    0  -0.0376963438350214                    0
                 0.5                    0  -0.0391560704031599                    0
                 0.5                    0  -0.0405302249927857                    0
                 0.5                    0  -0.0418623140712921                    0
                 0.5                    0  -0.0431839355588869                    0
                 0.5                    0  -0.0445098511951431                    0
                 0.5                    0  -0.0458386963448496                    0
                 0.5                    0  -0.0471579026955082                    0
                 0.5                    0  -0.0484503449086563                    0
                 0.5                    0  -0.0497001735410504                    0
                 0.5                    0  -0.0508961226323329                    0
                 0.5                    0  -0.0520318438305872                    0
                 0.5                    0  -0.0531039932745184                    0
                 0.5                    0  -0.0541094762299752                    0
                 0.5                    0  -0.0550432820851671                    0
                 0.5                    0  -0.0558978296075237                    0
                 0.5                    0  -0.0566639798581075                    0
                 0.5                    0  -0.0573331918675644                    0
                 0.5                    0   -0.057899932181938                    0
                 0.5                    0  -0.0583634765708109                    0
                  60                    0  -0.0595790629894111                    0
                   0                    0  -0.0595790629894111                    0
