#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.16779730   0.00000000
 39.84377529   3.16779730   0.00000000
 39.84377529   1.93191327   0.00000000
129.02818202   1.93191327   0.00000000
129.02818202   1.92586262   0.00000000
130.52818202   1.92586262   0.00000000
130.52818202   1.92438857   0.00000000
131.02818202   1.92438857   0.00000000
131.02818202   1.92319452   0.00000000
131.52818202   1.92319452   0.00000000
131.52818202   1.92159797   0.00000000
132.02818202   1.92159797   0.00000000
132.02818202   1.91955266   0.00000000
132.52818202   1.91955266   0.00000000
132.52818202   1.91700182   0.00000000
133.02818202   1.91700182   0.00000000
133.02818202   1.91387812   0.00000000
133.52818202   1.91387812   0.00000000
133.52818202   1.91010372   0.00000000
134.02818202   1.91010372   0.00000000
134.02818202   1.90559035   0.00000000
134.52818202   1.90559035   0.00000000
134.52818202   1.90023961   0.00000000
135.02818202   1.90023961   0.00000000
135.02818202   1.89394343   0.00000000
135.52818202   1.89394343   0.00000000
135.52818202   1.88658466   0.00000000
136.02818202   1.88658466   0.00000000
136.02818202   1.87803805   0.00000000
136.52818202   1.87803805   0.00000000
136.52818202   1.86817134   0.00000000
137.02818202   1.86817134   0.00000000
137.02818202   1.85684682   0.00000000
137.52818202   1.85684682   0.00000000
137.52818202   1.84392303   0.00000000
138.02818202   1.84392303   0.00000000
138.02818202   1.82925689   0.00000000
138.52818202   1.82925689   0.00000000
138.52818202   1.81270609   0.00000000
139.02818202   1.81270609   0.00000000
139.02818202   1.79413173   0.00000000
139.52818202   1.79413173   0.00000000
139.52818202   1.77340126   0.00000000
140.02818202   1.77340126   0.00000000
140.02818202   1.75039159   0.00000000
140.52818202   1.75039159   0.00000000
140.52818202   1.72499228   0.00000000
141.02818202   1.72499228   0.00000000
141.02818202   1.69710889   0.00000000
141.52818202   1.69710889   0.00000000
141.52818202   1.66666618   0.00000000
142.02818202   1.66666618   0.00000000
142.02818202   1.63361129   0.00000000
142.52818202   1.63361129   0.00000000
142.52818202   1.59791658   0.00000000
143.02818202   1.59791658   0.00000000
143.02818202   1.55958225   0.00000000
143.52818202   1.55958225   0.00000000
143.52818202   1.51863844   0.00000000
144.02818202   1.51863844   0.00000000
144.02818202   1.47514690   0.00000000
144.52818202   1.47514690   0.00000000
144.52818202   1.42920192   0.00000000
145.02818202   1.42920192   0.00000000
145.02818202   1.38093075   0.00000000
145.52818202   1.38093075   0.00000000
145.52818202   1.33049317   0.00000000
146.02818202   1.33049317   0.00000000
146.02818202   1.27808037   0.00000000
146.52818202   1.27808037   0.00000000
146.52818202   1.22391309   0.00000000
147.02818202   1.22391309   0.00000000
147.02818202   1.16823894   0.00000000
147.52818202   1.16823894   0.00000000
147.52818202   1.11132919   0.00000000
148.02818202   1.11132919   0.00000000
148.02818202   1.05347477   0.00000000
148.52818202   1.05347477   0.00000000
148.52818202   0.99498187   0.00000000
149.02818202   0.99498187   0.00000000
149.02818202   0.93616710   0.00000000
149.52818202   0.93616710   0.00000000
149.52818202   0.87498043   0.00000000
150.02818202   0.87498043   0.00000000
150.02818202   0.81700930   0.00000000
150.52818202   0.81700930   0.00000000
150.52818202   0.75956924   0.00000000
151.02818202   0.75956924   0.00000000
151.02818202   0.70298674   0.00000000
151.52818202   0.70298674   0.00000000
151.52818202   0.64756965   0.00000000
152.02818202   0.64756965   0.00000000
152.02818202   0.59360316   0.00000000
152.52818202   0.59360316   0.00000000
152.52818202   0.54134636   0.00000000
153.02818202   0.54134636   0.00000000
153.02818202   0.49102929   0.00000000
153.52818202   0.49102929   0.00000000
153.52818202   0.44285070   0.00000000
154.02818202   0.44285070   0.00000000
154.02818202   0.39697644   0.00000000
154.52818202   0.39697644   0.00000000
154.52818202   0.35353859   0.00000000
155.02818202   0.35353859   0.00000000
155.02818202   0.31263531   0.00000000
155.52818202   0.31263531   0.00000000
155.52818202   0.27433133   0.00000000
156.02818202   0.27433133   0.00000000
156.02818202   0.23865916   0.00000000
156.52818202   0.23865916   0.00000000
156.52818202   0.20562080   0.00000000
157.02818202   0.20562080   0.00000000
157.02818202   0.17519002   0.00000000
157.52818202   0.17519002   0.00000000
157.52818202   0.14731494   0.00000000
158.02818202   0.14731494   0.00000000
158.02818202   0.12192109   0.00000000
158.52818202   0.12192109   0.00000000
158.52818202   0.09891450   0.00000000
159.02818202   0.09891450   0.00000000
159.02818202   0.07818503   0.00000000
159.52818202   0.07818503   0.00000000
159.52818202   0.05960967   0.00000000
160.02818202   0.05960967   0.00000000
160.02818202   0.04305578   0.00000000
160.52818202   0.04305578   0.00000000
160.52818202   0.02838419   0.00000000
161.02818202   0.02838419   0.00000000
161.02818202   0.01545208   0.00000000
