#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
203.03230547   0.34265861   0.00000000
203.03230547   0.29241012   0.00000000
203.53230547   0.29241012   0.00000000
203.53230547   0.24789454   0.00000000
204.03230547   0.24789454   0.00000000
204.03230547   0.20875303   0.00000000
204.53230547   0.20875303   0.00000000
204.53230547   0.17460005   0.00000000
205.03230547   0.17460005   0.00000000
205.03230547   0.14503291   0.00000000
205.53230547   0.14503291   0.00000000
205.53230547   0.11964058   0.00000000
206.03230547   0.11964058   0.00000000
206.03230547   0.09801195   0.00000000
206.53230547   0.09801195   0.00000000
206.53230547   0.07974311   0.00000000
207.03230547   0.07974311   0.00000000
207.03230547   0.06444386   0.00000000
207.53230547   0.06444386   0.00000000
207.53230547   0.05174306   0.00000000
208.03230547   0.05174306   0.00000000
208.03230547   0.04129300   0.00000000
208.53230547   0.04129300   0.00000000
208.53230547   0.03277266   0.00000000
209.03230547   0.03277266   0.00000000
209.03230547   0.02588983   0.00000000
209.53230547   0.02588983   0.00000000
209.53230547   0.02038231   0.00000000
210.03230547   0.02038231   0.00000000
210.03230547   0.01601808   0.00000000
210.53230547   0.01601808   0.00000000
210.53230547   0.01259480   0.00000000
211.03230547   0.01259480   0.00000000
211.03230547   0.00993859   0.00000000
211.53230547   0.00993859   0.00000000
211.53230547   0.00790236   0.00000000
212.03230547   0.00790236   0.00000000
212.03230547   0.00636387   0.00000000
212.53230547   0.00636387   0.00000000
212.53230547   0.00522368   0.00000000
213.03230547   0.00522368   0.00000000
213.03230547   0.00440302   0.00000000
213.53230547   0.00440302   0.00000000
213.53230547   0.00384198   0.00000000
214.03230547   0.00384198   0.00000000
214.03230547   0.00349785   0.00000000
214.53230547   0.00349785   0.00000000
214.53230547   0.00334394   0.00000000
215.03230547   0.00334394   0.00000000
215.03230547   0.00336880   0.00000000
215.53230547   0.00336880   0.00000000
215.53230547   0.00357596   0.00000000
216.03230547   0.00357596   0.00000000
216.03230547   0.00398424   0.00000000
216.53230547   0.00398424   0.00000000
216.53230547   0.00462848   0.00000000
217.03230547   0.00462848   0.00000000
217.03230547   0.00556093   0.00000000
217.53230547   0.00556093   0.00000000
217.53230547   0.00685294   0.00000000
218.03230547   0.00685294   0.00000000
218.03230547   0.00859708   0.00000000
218.53230547   0.00859708   0.00000000
218.53230547   0.01090952   0.00000000
219.03230547   0.01090952   0.00000000
219.03230547   0.01393245   0.00000000
219.53230547   0.01393245   0.00000000
219.53230547   0.01783643   0.00000000
220.03230547   0.01783643   0.00000000
220.03230547   0.02282251   0.00000000
220.53230547   0.02282251   0.00000000
220.53230547   0.02912378   0.00000000
221.03230547   0.02912378   0.00000000
221.03230547   0.03700632   0.00000000
221.53230547   0.03700632   0.00000000
221.53230547   0.04676915   0.00000000
222.03230547   0.04676915   0.00000000
222.03230547   0.05874317   0.00000000
222.53230547   0.05874317   0.00000000
222.53230547   0.07328903   0.00000000
223.03230547   0.07328903   0.00000000
223.03230547   0.09079360   0.00000000
223.53230547   0.09079360   0.00000000
223.53230547   0.11166546   0.00000000
224.03230547   0.11166546   0.00000000
224.03230547   0.13632928   0.00000000
224.53230547   0.13632928   0.00000000
224.53230547   0.16521935   0.00000000
225.03230547   0.16521935   0.00000000
225.03230547   0.19877264   0.00000000
225.53230547   0.19877264   0.00000000
225.53230547   0.23742154   0.00000000
226.03230547   0.23742154   0.00000000
226.03230547   0.28158687   0.00000000
226.53230547   0.28158687   0.00000000
226.53230547   0.33167120   0.00000000
227.03230547   0.33167120   0.00000000
227.03230547   0.38805300   0.00000000
227.53230547   0.38805300   0.00000000
227.53230547   0.45108156   0.00000000
228.03230547   0.45108156   0.00000000
228.03230547   0.52107293   0.00000000
228.53230547   0.52107293   0.00000000
228.53230547   0.59830659   0.00000000
229.03230547   0.59830659   0.00000000
229.03230547   0.68302273   0.00000000
229.53230547   0.68302273   0.00000000
229.53230547   0.77541973   0.00000000
230.03230547   0.77541973   0.00000000
230.03230547   0.87565142   0.00000000
230.53230547   0.87565142   0.00000000
230.53230547   0.98382375   0.00000000
231.03230547   0.98382375   0.00000000
231.03230547   1.09999037   0.00000000
231.53230547   1.09999037   0.00000000
231.53230547   1.22414688   0.00000000
232.03230547   1.22414688   0.00000000
232.03230547   1.35622378   0.00000000
232.53230547   1.35622378   0.00000000
232.53230547   1.49607804   0.00000000
233.03230547   1.49607804   0.00000000
233.03230547   1.64348384   0.00000000
233.53230547   1.64348384   0.00000000
233.53230547   1.79812299   0.00000000
234.03230547   1.79812299   0.00000000
234.03230547   1.95957587   0.00000000
234.53230547   1.95957587   0.00000000
234.53230547   2.12731377   0.00000000
235.03230547   2.12731377   0.00000000
235.03230547   2.30069372   0.00000000
235.53230547   2.30069372   0.00000000
235.53230547   2.47895663   0.00000000
236.03230547   2.47895663   0.00000000
236.03230547   2.66122955   0.00000000
236.53230547   2.66122955   0.00000000
236.53230547   2.84653273   0.00000000
237.03230547   2.84653273   0.00000000
237.03230547   3.03379153   0.00000000
237.53230547   3.03379153   0.00000000
237.53230547   3.22185333   0.00000000
238.03230547   3.22185333   0.00000000
238.03230547   3.40950881   0.00000000
238.53230547   3.40950881   0.00000000
238.53230547   3.59551700   0.00000000
239.03230547   3.59551700   0.00000000
239.03230547   3.77863299   0.00000000
239.53230547   3.77863299   0.00000000
239.53230547   3.95763707   0.00000000
240.03230547   3.95763707   0.00000000
240.03230547   4.13136402   0.00000000
240.53230547   4.13136402   0.00000000
240.53230547   4.29873109   0.00000000
241.03230547   4.29873109   0.00000000
241.03230547   4.45876343   0.00000000
241.53230547   4.45876343   0.00000000
241.53230547   4.61061593   0.00000000
242.03230547   4.61061593   0.00000000
242.03230547   4.75359034   0.00000000
242.53230547   4.75359034   0.00000000
242.53230547   4.88714730   0.00000000
243.03230547   4.88714730   0.00000000
243.03230547   5.01091271   0.00000000
243.53230547   5.01091271   0.00000000
243.53230547   5.12467858   0.00000000
244.03230547   5.12467858   0.00000000
244.03230547   5.22839847   0.00000000
244.53230547   5.22839847   0.00000000
244.53230547   5.32217812   0.00000000
245.03230547   5.32217812   0.00000000
245.03230547   5.40626184   0.00000000
245.53230547   5.40626184   0.00000000
245.53230547   5.48101565   0.00000000
246.03230547   5.48101565   0.00000000
246.03230547   5.54690798   0.00000000
246.53230547   5.54690798   0.00000000
246.53230547   5.60448899   0.00000000
247.03230547   5.60448899   0.00000000
247.03230547   5.65436936   0.00000000
247.53230547   5.65436936   0.00000000
247.53230547   5.69719951   0.00000000
248.03230547   5.69719951   0.00000000
248.03230547   5.73365002   0.00000000
248.53230547   5.73365002   0.00000000
248.53230547   5.76439370   0.00000000
249.03230547   5.76439370   0.00000000
249.03230547   5.79009010   0.00000000
249.53230547   5.79009010   0.00000000
249.53230547   5.81137238   0.00000000
250.03230547   5.81137238   0.00000000
250.03230547   5.82883706   0.00000000
250.53230547   5.82883706   0.00000000
250.53230547   5.84303638   0.00000000
251.03230547   5.84303638   0.00000000
251.03230547   5.85447324   0.00000000
251.53230547   5.85447324   0.00000000
251.53230547   5.86359856   0.00000000
252.03230547   5.86359856   0.00000000
252.03230547   5.87081068   0.00000000
252.53230547   5.87081068   0.00000000
252.53230547   5.87645643   0.00000000
253.03230547   5.87645643   0.00000000
253.03230547   5.88083365   0.00000000
253.53230547   5.88083365   0.00000000
253.53230547   5.88419464   0.00000000
254.03230547   5.88419464   0.00000000
254.03230547   5.88675030   0.00000000
254.53230547   5.88675030   0.00000000
254.53230547   5.88867465   0.00000000
255.03230547   5.88867465   0.00000000
255.03230547   5.89010943   0.00000000
255.53230547   5.89010943   0.00000000
255.53230547   5.89116866   0.00000000
256.03230547   5.89116866   0.00000000
256.03230547   5.89381639   0.00000000
312.53230547   5.89381639   0.00000000
312.53230547   5.89381639   0.00000000
322.53230547   5.89381639   0.00000000
