#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.35970010   0.00000000
 39.25570017   3.35970010   0.00000000
 39.25570017   3.97587032   0.00000000
 57.51422327   3.97587032   0.00000000
 57.51422327   4.44845976   0.00000000
162.53230547   4.44845976   0.00000000
162.53230547   4.44824085   0.00000000
165.53230547   4.44824085   0.00000000
165.53230547   4.44718959   0.00000000
166.03230547   4.44718959   0.00000000
166.03230547   4.44662027   0.00000000
166.53230547   4.44662027   0.00000000
166.53230547   4.44581689   0.00000000
167.03230547   4.44581689   0.00000000
167.03230547   4.44469652   0.00000000
167.53230547   4.44469652   0.00000000
167.53230547   4.44315117   0.00000000
168.03230547   4.44315117   0.00000000
168.03230547   4.44104217   0.00000000
168.53230547   4.44104217   0.00000000
168.53230547   4.43819391   0.00000000
169.03230547   4.43819391   0.00000000
169.03230547   4.43153682   0.00000000
169.53230547   4.43153682   0.00000000
169.53230547   4.42820248   0.00000000
170.03230547   4.42820248   0.00000000
170.03230547   4.42232266   0.00000000
170.53230547   4.42232266   0.00000000
170.53230547   4.41406187   0.00000000
171.03230547   4.41406187   0.00000000
171.03230547   4.40321323   0.00000000
171.53230547   4.40321323   0.00000000
171.53230547   4.38934966   0.00000000
172.03230547   4.38934966   0.00000000
172.03230547   4.37190295   0.00000000
172.53230547   4.37190295   0.00000000
172.53230547   4.35020368   0.00000000
173.03230547   4.35020368   0.00000000
173.03230547   4.32350318   0.00000000
173.53230547   4.32350318   0.00000000
173.53230547   4.29099004   0.00000000
174.03230547   4.29099004   0.00000000
174.03230547   4.25180715   0.00000000
174.53230547   4.25180715   0.00000000
174.53230547   4.20507239   0.00000000
175.03230547   4.20507239   0.00000000
175.03230547   4.14990384   0.00000000
175.53230547   4.14990384   0.00000000
175.53230547   4.08544960   0.00000000
176.03230547   4.08544960   0.00000000
176.03230547   4.01092149   0.00000000
176.53230547   4.01092149   0.00000000
176.53230547   3.92563168   0.00000000
177.03230547   3.92563168   0.00000000
177.03230547   3.82903052   0.00000000
177.53230547   3.82903052   0.00000000
177.53230547   3.72074382   0.00000000
178.03230547   3.72074382   0.00000000
178.03230547   3.60060743   0.00000000
178.53230547   3.60060743   0.00000000
178.53230547   3.46869688   0.00000000
179.03230547   3.46869688   0.00000000
179.03230547   3.32535007   0.00000000
179.53230547   3.32535007   0.00000000
179.53230547   3.17118087   0.00000000
180.03230547   3.17118087   0.00000000
180.03230547   3.00708224   0.00000000
180.53230547   3.00708224   0.00000000
180.53230547   2.83421784   0.00000000
181.03230547   2.83421784   0.00000000
181.03230547   2.65400174   0.00000000
181.53230547   2.65400174   0.00000000
181.53230547   2.46806665   0.00000000
182.03230547   2.46806665   0.00000000
182.03230547   2.27822172   0.00000000
182.53230547   2.27822172   0.00000000
182.53230547   2.08640174   0.00000000
183.03230547   2.08640174   0.00000000
183.03230547   1.89461017   0.00000000
183.53230547   1.89461017   0.00000000
183.53230547   1.70485874   0.00000000
184.03230547   1.70485874   0.00000000
184.03230547   1.51910660   0.00000000
184.53230547   1.51910660   0.00000000
184.53230547   1.33920226   0.00000000
185.03230547   1.33920226   0.00000000
185.03230547   1.16683101   0.00000000
185.53230547   1.16683101   0.00000000
185.53230547   1.00347025   0.00000000
186.03230547   1.00347025   0.00000000
186.03230547   0.85035484   0.00000000
186.53230547   0.85035484   0.00000000
186.53230547   0.70845345   0.00000000
187.03230547   0.70845345   0.00000000
187.03230547   0.57845664   0.00000000
187.53230547   0.57845664   0.00000000
187.53230547   0.46077625   0.00000000
188.03230547   0.46077625   0.00000000
188.03230547   0.35555559   0.00000000
188.53230547   0.35555559   0.00000000
188.53230547   0.26268863   0.00000000
189.03230547   0.26268863   0.00000000
189.03230547   0.18184684   0.00000000
189.53230547   0.18184684   0.00000000
189.53230547   0.11251133   0.00000000
190.03230547   0.11251133   0.00000000
190.03230547   0.05400837   0.00000000
190.53230547   0.05400837   0.00000000
190.53230547   0.00554624   0.00000000
191.03230547   0.00554624   0.00000000
191.03230547  -0.03374852   0.00000000
191.53230547  -0.03374852   0.00000000
191.53230547  -0.06479688   0.00000000
192.03230547  -0.06479688   0.00000000
192.03230547  -0.08853648   0.00000000
192.53230547  -0.08853648   0.00000000
192.53230547  -0.10589482   0.00000000
193.03230547  -0.10589482   0.00000000
193.03230547  -0.11776726   0.00000000
193.53230547  -0.11776726   0.00000000
193.53230547  -0.12499965   0.00000000
194.03230547  -0.12499965   0.00000000
194.03230547  -0.12837578   0.00000000
194.53230547  -0.12837578   0.00000000
194.53230547  -0.12860908   0.00000000
195.03230547  -0.12860908   0.00000000
195.03230547  -0.12633824   0.00000000
195.53230547  -0.12633824   0.00000000
