#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                 0.5                    0      1.3562237810507                    0
                 0.5                    0      1.4960780413872                    0
                 0.5                    0     1.64348384210061                    0
                 0.5                    0     1.79812299375229                    0
                 0.5                    0     1.95957586806786                    0
                 0.5                    0     2.12731376835651                    0
                 0.5                    0     2.30069372158877                    0
                 0.5                    0     2.47895662676915                    0
                 0.5                    0     2.66122955016069                    0
                 0.5                    0     2.84653272687154                    0
                 0.5                    0     3.03379152979818                    0
                 0.5                    0      3.2218533277985                    0
                 0.5                    0     3.40950880626521                    0
                 0.5                    0     3.59551699660572                    0
                 0.5                    0     3.77863298525189                    0
                 0.5                    0     3.95763707067821                    0
                 0.5                    0     4.13136402364325                    0
                 0.5                    0     4.29873108783731                    0
                 0.5                    0     4.45876343296172                    0
                 0.5                    0     4.61061592992166                    0
                 0.5                    0     4.75359034219721                    0
                 0.5                    0     4.88714729852175                    0
                 0.5                    0     5.01091270789387                    0
                 0.5                    0     5.12467857703313                    0
                 0.5                    0     5.22839847289043                    0
                 0.5                    0     5.32217812209706                    0
                 0.5                    0     5.40626184256358                    0
                 0.5                    0     5.48101565141131                    0
                 0.5                    0     5.54690798396285                    0
                 0.5                    0     5.60448899064538                    0
                 0.5                    0     5.65436935600762                    0
                 0.5                    0     5.69719951326906                    0
                 0.5                    0     5.73365001785816                    0
                 0.5                    0     5.76439370473509                    0
                 0.5                    0     5.79009009813796                    0
                 0.5                    0     5.81137237988842                    0
                 0.5                    0     5.82883706390184                    0
                 0.5                    0     5.84303637901943                    0
                 0.5                    0     5.85447323677106                    0
                 0.5                    0     5.86359856005123                    0
                 0.5                    0      5.8708106755098                    0
                 0.5                    0     5.87645642707136                    0
                 0.5                    0      5.8808336487978                    0
                 0.5                    0     5.88419463912791                    0
                 0.5                    0     5.88675030111077                    0
                 0.5                    0     5.88867464975452                    0
                 0.5                    0     5.89010943309091                    0
                 0.5                    0     5.89116866336347                    0
                56.5                    0     5.89381639182725                    0
                   0                    0     5.89381639182725                    0
