#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.45261649   0.00000000
 38.77709164   3.45261649   0.00000000
 38.77709164   3.92497638   0.00000000
 53.91839159   3.92497638   0.00000000
 53.91839159   4.42014307   0.00000000
199.90248817   4.42014307   0.00000000
199.90248817   4.42014307   0.00000000
209.90248817   4.42014307   0.00000000
209.90248817   4.41860176   0.00000000
210.40248817   4.41860176   0.00000000
210.40248817   4.41736484   0.00000000
210.90248817   4.41736484   0.00000000
210.90248817   4.41526809   0.00000000
211.40248817   4.41526809   0.00000000
211.40248817   4.41181359   0.00000000
211.90248817   4.41181359   0.00000000
211.90248817   4.40628325   0.00000000
212.40248817   4.40628325   0.00000000
212.40248817   4.39768135   0.00000000
212.90248817   4.39768135   0.00000000
212.90248817   4.38468345   0.00000000
213.40248817   4.38468345   0.00000000
213.40248817   4.36560465   0.00000000
213.90248817   4.36560465   0.00000000
213.90248817   4.33840317   0.00000000
214.40248817   4.33840317   0.00000000
214.40248817   4.30073556   0.00000000
214.90248817   4.30073556   0.00000000
214.90248817   4.25007662   0.00000000
215.40248817   4.25007662   0.00000000
215.40248817   4.18390849   0.00000000
215.90248817   4.18390849   0.00000000
215.90248817   4.09997045   0.00000000
216.40248817   4.09997045   0.00000000
216.40248817   3.99654445   0.00000000
216.90248817   3.99654445   0.00000000
216.90248817   3.87273597   0.00000000
217.40248817   3.87273597   0.00000000
217.40248817   3.72869876   0.00000000
217.90248817   3.72869876   0.00000000
217.90248817   3.56575106   0.00000000
218.40248817   3.56575106   0.00000000
218.40248817   3.38634237   0.00000000
218.90248817   3.38634237   0.00000000
218.90248817   3.19385444   0.00000000
219.40248817   3.19385444   0.00000000
219.40248817   2.99225327   0.00000000
219.90248817   2.99225327   0.00000000
219.90248817   2.78564397   0.00000000
220.40248817   2.78564397   0.00000000
220.40248817   2.57780737   0.00000000
220.90248817   2.57780737   0.00000000
220.90248817   2.37180829   0.00000000
221.40248817   2.37180829   0.00000000
221.40248817   2.16975496   0.00000000
221.90248817   2.16975496   0.00000000
221.90248817   1.97275848   0.00000000
222.40248817   1.97275848   0.00000000
222.40248817   1.78109690   0.00000000
222.90248817   1.78109690   0.00000000
222.90248817   1.59454131   0.00000000
223.40248817   1.59454131   0.00000000
223.40248817   1.41276459   0.00000000
223.90248817   1.41276459   0.00000000
223.90248817   1.23573565   0.00000000
224.40248817   1.23573565   0.00000000
224.40248817   1.06400888   0.00000000
224.90248817   1.06400888   0.00000000
224.90248817   0.89884650   0.00000000
225.40248817   0.89884650   0.00000000
225.40248817   0.74215338   0.00000000
225.90248817   0.74215338   0.00000000
225.90248817   0.59624769   0.00000000
226.40248817   0.59624769   0.00000000
226.40248817   0.46352550   0.00000000
226.90248817   0.46352550   0.00000000
226.90248817   0.34609578   0.00000000
227.40248817   0.34609578   0.00000000
227.40248817   0.24546117   0.00000000
227.90248817   0.24546117   0.00000000
227.90248817   0.16230236   0.00000000
228.40248817   0.16230236   0.00000000
228.40248817   0.09639618   0.00000000
228.90248817   0.09639618   0.00000000
228.90248817   0.04666754   0.00000000
229.40248817   0.04666754   0.00000000
229.40248817   0.01135024   0.00000000
229.90248817   0.01135024   0.00000000
229.90248817  -0.01178420   0.00000000
230.40248817  -0.01178420   0.00000000
230.40248817  -0.02517506   0.00000000
230.90248817  -0.02517506   0.00000000
230.90248817  -0.03123895   0.00000000
231.40248817  -0.03123895   0.00000000
231.40248817  -0.03218365   0.00000000
231.90248817  -0.03218365   0.00000000
231.90248817  -0.02988419   0.00000000
232.40248817  -0.02988419   0.00000000
232.40248817  -0.02582310   0.00000000
232.90248817  -0.02582310   0.00000000
232.90248817  -0.02108629   0.00000000
233.40248817  -0.02108629   0.00000000
233.40248817  -0.01640012   0.00000000
233.90248817  -0.01640012   0.00000000
233.90248817  -0.01219327   0.00000000
234.40248817  -0.01219327   0.00000000
234.40248817  -0.00866833   0.00000000
234.90248817  -0.00866833   0.00000000
234.90248817  -0.00587143   0.00000000
235.40248817  -0.00587143   0.00000000
235.40248817  -0.00375230   0.00000000
235.90248817  -0.00375230   0.00000000
235.90248817  -0.00221115   0.00000000
236.40248817  -0.00221115   0.00000000
236.40248817  -0.00113162   0.00000000
236.90248817  -0.00113162   0.00000000
236.90248817  -0.00040158   0.00000000
237.40248817  -0.00040158   0.00000000
237.40248817   0.00007599   0.00000000
237.90248817   0.00007599   0.00000000
237.90248817   0.00037890   0.00000000
238.40248817   0.00037890   0.00000000
238.40248817   0.00056624   0.00000000
238.90248817   0.00056624   0.00000000
238.90248817   0.00068113   0.00000000
239.40248817   0.00068113   0.00000000
239.40248817   0.00075476   0.00000000
